name,id,score,members,favorites,ratio
So Ra No Wo To,6802,7.53,166460,1496,0.9
Sonny Boy,48849,7.81,332692,7400,2.22
Sousou no Frieren 2nd Season,59978,0,100903,472,0.47
SSSS.Gridman,35847,7.13,308798,1391,0.45
Star Wars: Visions,49357,7.09,94832,365,0.38
Suki na Ko ga Megane wo Wasureta,54234,7.14,208776,1447,0.69
Suzume no Tojimari,50594,8.27,409396,4936,1.21
Takt Op. Destiny,48556,7.15,535391,4754,0.89
Tasogare Otome x Amnesia,12445,7.81,414599,4651,1.12
Tate no Yuusha no Nariagari,35790,7.94,1652295,25198,1.53
Tengoku Daimakyou,53393,8.21,536641,6427,1.2
Tenkuu no Escaflowne,182,7.66,165686,2204,1.33
Tenshi no Tamago,885,7.71,161745,3632,2.25
Texhnolyze,26,7.76,263215,5218,1.98
The Animatrix,1303,7.3,87019,275,0.32
Toaru Kagaku no Railgun,6213,7.65,623934,5985,0.96
Tokyo Godfathers,759,8.28,304659,2716,0.89
Tonari no Totoro,523,8.25,1098579,8770,0.8
Top wo Nerae 2! Diebuster,1002,7.59,80879,875,1.08
Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,1911,7.4,14135,34,0.24
Top wo Nerae! Gunbuster,949,7.85,134586,2818,2.09
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,9874,7.25,41539,220,0.53
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,30547,7.25,11215,45,0.4
Trigun Stampede,52093,7.83,201935,2332,1.15
Trigun: Badlands Rumble,4106,7.9,146919,294,0.2
Trinity Blood,27,7.28,189851,1357,0.71
Ueno-san wa Bukiyou,37920,6.55,124640,205,0.16
Uma Musume: Pretty Derby,35249,7.3,151380,632,0.42
Uzumaki,40333,5.89,223192,1176,0.53
Val x Love,39799,5.9,102068,169,0.17
Vivy: Fluorite Eye's Song,46095,8.39,563515,10993,1.95
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,16742,6.99,670974,5873,0.88
Wolf's Rain,202,7.79,337284,5765,1.71
xxxHOLiC,861,7.97,330575,4650,1.41
Yarichin☆Bitch-bu,37585,6.09,108985,874,0.8
Yoru wa Mijikashi Arukeyo Otome,34537,8.18,131830,1751,1.33
Youjo Senki,32615,7.96,963053,12830,1.33
Yuri!!! on Ice,32995,7.9,910098,20926,2.3
Yuru Camp△,34798,8.27,511521,11534,2.25
Zetsuen no Tempest,14075,7.89,609537,6544,1.07
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,54112,7.76,591324,4075,0.69
